               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093027,             0.03991,            0.050025,             0.53061,            0.068627,            0.020773,           0.0040107,            0.073299,            0.019854,            0.037953,              0.0027,              0.0027,              0.0757
                   1,            0.062547,             0.04075,            0.028197,             0.67383,             0.17423,             0.20247,            0.070611,            0.056969,            0.017298,            0.026871,           0.0054818,           0.0054818,            0.050482
                   2,            0.061189,            0.035594,            0.011996,             0.18791,             0.40789,             0.15678,            0.070306,            0.063359,            0.020051,            0.019521,           0.0082452,           0.0082452,            0.025245
                   3,            0.056076,            0.034243,           0.0077842,            0.044143,             0.44896,            0.078644,            0.020169,            0.075407,            0.034602,            0.061362,            0.009901,            0.009901,            0.009901
                   4,            0.050159,            0.034213,           0.0071822,             0.64559,             0.21439,             0.24761,             0.06444,            0.061508,            0.021489,            0.020547,            0.009901,            0.009901,            0.009901
                   5,            0.046915,            0.033981,           0.0057889,             0.34011,             0.47044,             0.32723,             0.10177,            0.053197,            0.021628,            0.012498,            0.009868,            0.009868,            0.009868
                   6,            0.045015,            0.032997,           0.0051435,             0.54884,             0.28997,             0.30171,             0.12084,            0.057014,            0.016654,            0.034514,            0.009835,            0.009835,            0.009835
                   7,            0.044148,            0.033348,           0.0046876,             0.41309,            0.093137,            0.035325,           0.0092599,            0.088842,            0.019137,            0.032094,            0.009802,            0.009802,            0.009802
                   8,            0.043044,            0.032549,           0.0040155,             0.55488,             0.50076,             0.46696,             0.15775,            0.045873,            0.016676,           0.0069269,            0.009769,            0.009769,            0.009769
                   9,            0.041777,            0.032877,           0.0034313,             0.47066,             0.53856,             0.54544,             0.24913,            0.041338,            0.016066,           0.0014861,            0.009736,            0.009736,            0.009736
                  10,             0.04187,            0.032294,           0.0031733,             0.41648,              0.6592,             0.53686,             0.23876,            0.043442,            0.014217,            0.002126,            0.009703,            0.009703,            0.009703
                  11,            0.040516,            0.033337,           0.0031957,             0.47346,             0.40312,             0.39309,             0.18322,            0.045096,            0.015946,            0.012085,             0.00967,             0.00967,             0.00967
                  12,            0.040321,            0.032549,           0.0030116,             0.55884,              0.7462,             0.68648,             0.29416,            0.042213,            0.013505,           0.0027671,            0.009637,            0.009637,            0.009637
                  13,            0.038965,            0.032284,           0.0030094,             0.48723,             0.78188,             0.68302,              0.2825,            0.039098,            0.015199,           0.0014362,            0.009604,            0.009604,            0.009604
                  14,            0.039356,            0.032367,           0.0025162,             0.58148,             0.69405,             0.67821,             0.31117,            0.043192,            0.016117,           0.0015747,            0.009571,            0.009571,            0.009571
                  15,            0.039074,            0.031391,           0.0029861,             0.52389,             0.62539,             0.62872,             0.25043,            0.045435,             0.01489,           0.0016994,            0.009538,            0.009538,            0.009538
                  16,            0.039176,            0.031748,           0.0027096,             0.52127,             0.78422,             0.70192,             0.28592,            0.041012,            0.015568,           0.0015758,            0.009505,            0.009505,            0.009505
                  17,            0.038556,            0.031603,           0.0030309,             0.42143,             0.64013,             0.55378,             0.27312,            0.042689,            0.013859,           0.0040513,            0.009472,            0.009472,            0.009472
                  18,             0.03777,            0.031351,           0.0025809,             0.34808,             0.74524,             0.53755,             0.21181,            0.040651,            0.014544,           0.0012545,            0.009439,            0.009439,            0.009439
                  19,            0.037645,            0.031808,           0.0021152,             0.69283,             0.57383,              0.6048,             0.27202,            0.036082,            0.015403,          0.00094208,            0.009406,            0.009406,            0.009406
                  20,            0.037146,            0.031432,           0.0024596,             0.62774,             0.50989,              0.5991,             0.27809,            0.039864,            0.013877,           0.0019135,            0.009373,            0.009373,            0.009373
                  21,            0.037631,            0.031242,           0.0023273,             0.64439,              0.6647,             0.65302,             0.26624,             0.03926,            0.013177,           0.0014251,             0.00934,             0.00934,             0.00934
                  22,            0.036774,            0.031174,           0.0022021,             0.60643,             0.77237,             0.74814,             0.34489,            0.038038,            0.013175,          0.00066842,            0.009307,            0.009307,            0.009307
                  23,            0.036497,            0.031325,           0.0019911,             0.54205,             0.54381,             0.53741,             0.23766,              0.0446,            0.016422,           0.0013845,            0.009274,            0.009274,            0.009274
                  24,            0.036819,            0.030771,           0.0022028,             0.62917,             0.59392,             0.64859,             0.29624,            0.038211,            0.014879,           0.0011845,            0.009241,            0.009241,            0.009241
                  25,            0.036954,            0.030623,           0.0018435,             0.67535,             0.72893,             0.77882,             0.40404,            0.034651,            0.013443,          0.00077372,            0.009208,            0.009208,            0.009208
                  26,            0.036145,            0.030841,           0.0019817,             0.65319,             0.75849,             0.74863,             0.31519,              0.0375,            0.013466,          0.00077526,            0.009175,            0.009175,            0.009175
                  27,            0.035981,            0.030339,           0.0018965,             0.66974,             0.60659,             0.67066,             0.33925,            0.036696,            0.013815,          0.00065845,            0.009142,            0.009142,            0.009142
                  28,            0.035336,            0.030836,           0.0018647,             0.71213,             0.77507,             0.79513,             0.37864,            0.039244,            0.013568,          0.00067897,            0.009109,            0.009109,            0.009109
                  29,             0.03559,            0.030627,           0.0016602,              0.6753,              0.5291,             0.55406,             0.28606,            0.036608,            0.014647,           0.0020003,            0.009076,            0.009076,            0.009076
                  30,            0.035092,            0.030308,           0.0016903,              0.6799,             0.74048,             0.78863,             0.38917,            0.035488,            0.013341,          0.00079521,            0.009043,            0.009043,            0.009043
                  31,            0.035268,            0.030102,           0.0018139,             0.75316,             0.63132,             0.71814,             0.40013,              0.0366,            0.013883,          0.00072851,             0.00901,             0.00901,             0.00901
                  32,            0.034997,            0.030879,           0.0019209,             0.58297,              0.7232,             0.68602,             0.33147,            0.034357,            0.014261,          0.00079944,            0.008977,            0.008977,            0.008977
                  33,            0.035159,            0.030847,           0.0015026,             0.60703,             0.81324,             0.74907,             0.32535,            0.039388,            0.013575,          0.00062451,            0.008944,            0.008944,            0.008944
                  34,            0.034852,            0.030262,           0.0016411,             0.50055,             0.75487,              0.7087,              0.3501,            0.036214,            0.013766,           0.0025279,            0.008911,            0.008911,            0.008911
                  35,            0.035026,            0.030238,            0.002027,             0.63099,             0.62524,             0.70644,             0.32779,            0.036351,            0.015265,          0.00066051,            0.008878,            0.008878,            0.008878
